run_id	instance_sha256	instance	backend	formulation	method	delta	result	exit_code
ad68f4f3ce99_cardinality_cplex-cp_cp-i_epsilon_delta_0.025	ad68f4f3ce99d691acd958039f7e97670abe17e712046c6e8729d6bc05a4bec1	tests/instances/cardinality.txt	cplex-cp	cp-i	epsilon	0.025	experiments/results/commercial_main/ad68f4f3ce99_cardinality_cplex-cp_cp-i_epsilon_delta_0.025.json	1
ad68f4f3ce99_cardinality_cplex-cp_cp-i_epsilon_delta_0.05	ad68f4f3ce99d691acd958039f7e97670abe17e712046c6e8729d6bc05a4bec1	tests/instances/cardinality.txt	cplex-cp	cp-i	epsilon	0.05	experiments/results/commercial_main/ad68f4f3ce99_cardinality_cplex-cp_cp-i_epsilon_delta_0.05.json	1
ad68f4f3ce99_cardinality_cplex-cp_cp-i_epsilon_delta_0.10	ad68f4f3ce99d691acd958039f7e97670abe17e712046c6e8729d6bc05a4bec1	tests/instances/cardinality.txt	cplex-cp	cp-i	epsilon	0.10	experiments/results/commercial_main/ad68f4f3ce99_cardinality_cplex-cp_cp-i_epsilon_delta_0.10.json	1
a2c520838343_partial_coverage_gurobi-mip_mip-e_weighted	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	gurobi-mip	mip-e	weighted	-	experiments/results/commercial_main/a2c520838343_partial_coverage_gurobi-mip_mip-e_weighted.json	2
a2c520838343_partial_coverage_gurobi-mip_mip-e_lex-continuity	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	gurobi-mip	mip-e	lex-continuity	-	experiments/results/commercial_main/a2c520838343_partial_coverage_gurobi-mip_mip-e_lex-continuity.json	2
a2c520838343_partial_coverage_gurobi-mip_mip-e_lex-overtime	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	gurobi-mip	mip-e	lex-overtime	-	experiments/results/commercial_main/a2c520838343_partial_coverage_gurobi-mip_mip-e_lex-overtime.json	2
a2c520838343_partial_coverage_gurobi-mip_mip-e_epsilon_delta_0	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	gurobi-mip	mip-e	epsilon	0	experiments/results/commercial_main/a2c520838343_partial_coverage_gurobi-mip_mip-e_epsilon_delta_0.json	2
a2c520838343_partial_coverage_gurobi-mip_mip-e_epsilon_delta_0.01	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	gurobi-mip	mip-e	epsilon	0.01	experiments/results/commercial_main/a2c520838343_partial_coverage_gurobi-mip_mip-e_epsilon_delta_0.01.json	2
a2c520838343_partial_coverage_gurobi-mip_mip-e_epsilon_delta_0.025	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	gurobi-mip	mip-e	epsilon	0.025	experiments/results/commercial_main/a2c520838343_partial_coverage_gurobi-mip_mip-e_epsilon_delta_0.025.json	2
a2c520838343_partial_coverage_gurobi-mip_mip-e_epsilon_delta_0.05	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	gurobi-mip	mip-e	epsilon	0.05	experiments/results/commercial_main/a2c520838343_partial_coverage_gurobi-mip_mip-e_epsilon_delta_0.05.json	2
a2c520838343_partial_coverage_gurobi-mip_mip-e_epsilon_delta_0.10	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	gurobi-mip	mip-e	epsilon	0.10	experiments/results/commercial_main/a2c520838343_partial_coverage_gurobi-mip_mip-e_epsilon_delta_0.10.json	2
a2c520838343_partial_coverage_cplex-mip_mip-e_weighted	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-mip	mip-e	weighted	-	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-mip_mip-e_weighted.json	1
a2c520838343_partial_coverage_cplex-mip_mip-e_lex-continuity	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-mip	mip-e	lex-continuity	-	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-mip_mip-e_lex-continuity.json	1
a2c520838343_partial_coverage_cplex-mip_mip-e_lex-overtime	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-mip	mip-e	lex-overtime	-	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-mip_mip-e_lex-overtime.json	1
a2c520838343_partial_coverage_cplex-mip_mip-e_epsilon_delta_0	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-mip	mip-e	epsilon	0	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-mip_mip-e_epsilon_delta_0.json	1
a2c520838343_partial_coverage_cplex-mip_mip-e_epsilon_delta_0.01	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-mip	mip-e	epsilon	0.01	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-mip_mip-e_epsilon_delta_0.01.json	1
