instance,instance_sha256,users,agents,visits,load_profile,wc,wo,normalized_wc,normalized_wo,overtime_penalty,effective_continuity_to_overtime_ratio,coverage,similarity,continuity,overtime,vector,assignment_sha256
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,40,25,4,critical,4,1,4,1,1,4.0,160,606,1,12,160/606/1/12,e7df51bf2fb84ac19e7f973d91f451b9ec0f6bc43656ca2a5c37fad87a86fcee
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,40,25,4,critical,8,8,1,1,1,1.0,160,575,0,0,160/575/0/0,9f90c8083886a2dee7cdeec784314d35933d60ba2c1aa184c99d6f693fad3164
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,40,25,4,critical,8,4,2,1,1,2.0,160,575,0,0,160/575/0/0,c73070971097d4c93b1a72473e7388878d3421beadcfdcb8be2eb406cd9cec77
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,40,25,4,critical,4,4,1,1,1,1.0,160,582,1,0,160/582/1/0,3426a77f23a80c0159efe3c7134ff0f4a321a5cb2c1908587a36960e176a9aec
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,40,25,4,critical,4,8,1,2,1,0.5,160,582,1,0,160/582/1/0,a7f315743303aa47ab510e8aa564981215b93fe8905f85e2b74bbe563d3bf811
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,40,25,4,critical,1,8,1,8,1,0.125,160,590,5,0,160/590/5/0,177f6b2efc0d31fd311f7864f12beb517a8fffef0575fae4f48351ba93547aa3
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,40,25,4,critical,1,1,1,1,1,1.0,160,611,4,12,160/611/4/12,f1cd5aadca3a056d528ae2c86f8eef609de38139f6b5a70e90d64eb189377d8d
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,40,25,4,critical,8,1,8,1,1,8.0,160,601,0,12,160/601/0/12,635fa37b7ae1187ead3d08c0ff0ff3603822dc18e579f0afa47df36fbc121841
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,40,25,4,critical,1,4,1,4,1,0.25,160,590,5,0,160/590/5/0,e91a32cc262ba977edefd995f5d47eda61bc74d5910e5453e4fa7d89b3fcb62d
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,30,20,5,critical,8,4,2,1,1,2.0,150,539,0,0,150/539/0/0,005b1aa6134f84881f18530bcd194e0347572b21c4231fdb6815a9b835e1f8ab
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,30,20,5,critical,1,1,1,1,1,1.0,150,572,0,15,150/572/0/15,06d78c8dcc8098a118a0aceb337d40a6e78f09ce263f2708a61993e06d27a58a
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,30,20,5,critical,4,4,1,1,1,1.0,150,539,0,0,150/539/0/0,1ec97e248e16fc7739439e64182e9478c0546939ddead136e5502439d0553cd4
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,30,20,5,critical,1,4,1,4,1,0.25,150,541,2,0,150/541/2/0,33116806558fc3094f184ccea0aafac28854cc229d323c88622d6d0bb3b0d809
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,30,20,5,critical,4,1,4,1,1,4.0,150,571,0,14,150/571/0/14,922d0b6d9dc52533ca058e56195935e52fbbc03f41603d5854b224d0c4c24c77
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,30,20,5,critical,8,1,8,1,1,8.0,150,572,0,15,150/572/0/15,d08396707d05e387e843707fc79d8888a146d422bcdb790c53424e7deb8df03e
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,30,20,5,critical,4,8,1,2,1,0.5,150,539,0,0,150/539/0/0,dea524e86e339d9028e088564744abad74829f6294450d5081989ffa8e40e1a4
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,30,20,5,critical,1,8,1,8,1,0.125,150,541,2,0,150/541/2/0,ecac3c450f73e40fcc072f9d65a3271f068ee922e303fe94d494e20b1eb44293
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,30,20,5,critical,8,8,1,1,1,1.0,150,539,0,0,150/539/0/0,8ca3b5a236da9bd58517481a8f122a1d2c1720ef0b86a8bc5d40af09202b59e4
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,30,20,5,critical,1,8,1,8,1,0.125,150,537,9,0,150/537/9/0,992d1b7aa41ebb727c51872a9160a18a925529ea8e192d33df7fbff845c96ac1
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,30,20,5,critical,8,1,8,1,1,8.0,150,544,4,14,150/544/4/14,17e04d5e359b3a93df90b5a08a4df7044a0d289a80f93bd39ff653ec0fd4fbce
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,30,20,5,critical,4,8,1,2,1,0.5,150,526,5,0,150/526/5/0,cf98d81f060f9d716ba9af99dce2c70cc57a1b5dbfbd58c27939fb4484912d43
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,30,20,5,critical,8,8,1,1,1,1.0,150,519,4,0,150/519/4/0,85cbbf3e0f4c6245d24117b815d5a3db593a61b9e84a2ffe69b62d5ef8090a06
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,30,20,5,critical,8,4,2,1,1,2.0,150,519,4,0,150/519/4/0,ba5f52f05b7735d8b385a863331124b206c3289021ca4e509cd8048fdc849245
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,30,20,5,critical,1,4,1,4,1,0.25,150,537,9,0,150/537/9/0,8f03ac6b9d91b4202b6c2d3bc1d88033ecb42fa77d66c0711bca041e24502259
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,30,20,5,critical,4,1,4,1,1,4.0,150,542,4,12,150/542/4/12,398cb482bb9f2bc4421e21eedb190d438ccd609a87f0b507c3e0e2169a09a323
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,30,20,5,critical,4,4,1,1,1,1.0,150,530,6,0,150/530/6/0,544cc5b252a013b3ed793ff24e8e462f62b76c74d62fb3d7c30e6b3fe2cdf033
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,30,20,5,critical,1,1,1,1,1,1.0,150,553,9,13,150/553/9/13,427f949998611b8d9337d44f56077bd1f56fd9e0149db374a4d41ae49591242e
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,40,20,5,critical,4,4,1,1,1,1.0,200,699,4,1,200/699/4/1,dbacac0875216d8003212ea4a9503990c23a678aebc853ff46d15d9bec92bfe6
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,40,20,5,critical,4,8,1,2,1,0.5,200,699,5,0,200/699/5/0,b89d676b36c2cbc3479d776a444b4b18c019b23490e4498be2a412e830525e80
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,40,20,5,critical,1,1,1,1,1,1.0,200,740,10,14,200/740/10/14,16d86d3e44826cdcf3be7e863774b4c3bdde58ecde26a2ba0829fc440b950eb6
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,40,20,5,critical,8,8,1,1,1,1.0,200,688,3,0,200/688/3/0,7b19d267f2399adca25d4db06a85e6f4131a7d0e578300cd3486319dc4fcaa48
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,40,20,5,critical,8,1,8,1,1,8.0,200,718,1,19,200/718/1/19,34288d53d5c9ebbe00daacf680e4c0a6dd3f9e5dceacb0ce5ff09d0aa2166561
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,40,20,5,critical,1,8,1,8,1,0.125,200,722,17,0,200/722/17/0,16b4dfd43742bf2f427d4238bb993b822f411c18ac1a5e740c7f3cb3a53d3417
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,40,20,5,critical,8,4,2,1,1,2.0,200,695,2,3,200/695/2/3,78ca82664fc8a90bb4a6f4ccd084d49cb44af80f1a2f74d35553e6e41b4f393a
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,40,20,5,critical,1,4,1,4,1,0.25,200,721,16,0,200/721/16/0,6e86ec5661139339483e20c62e72da67812fe5cfa175ba51b784c3ec4c9b4d04
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,40,20,5,critical,4,1,4,1,1,4.0,200,729,3,16,200/729/3/16,bc27910fd464f496a0802232300c85519ea7297e7bc86f89db13db81af55c6a2
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,40,15,5,critical,1,4,1,4,1,0.25,200,722,19,0,200/722/19/0,bdad70b4c04ebeb306830c47475b1194477849b73b7febd17ea7e69c63009c8b
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,40,15,5,critical,8,1,8,1,1,8.0,200,723,4,17,200/723/4/17,0b5b80544a0abba4bf9ff585686e9105a4b2f785e2d1beae0f6e249316a935a6
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,40,15,5,critical,4,8,1,2,1,0.5,200,696,6,0,200/696/6/0,d0d5f006023d240dff1c94f4ca9fedd7b19c749b6276faaede5a031b22c66232
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,40,15,5,critical,8,8,1,1,1,1.0,200,686,4,0,200/686/4/0,70394a83c2d6421422b2ac0df99f41f3ae377f5fd8d5f41142e9c9621f47150d
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,40,15,5,critical,8,4,2,1,1,2.0,200,686,4,0,200/686/4/0,4165d381abd60ff5a72c3797be3c28075064cdb38754a7c60859bd57b8f244be
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,40,15,5,critical,1,1,1,1,1,1.0,200,746,16,16,200/746/16/16,0429e629979449bbf0da5ec5c0dee37e2117c6bcb4e27d49f1bd540eab495949
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,40,15,5,critical,1,8,1,8,1,0.125,200,722,19,0,200/722/19/0,2899558234bb810be9844a9f5556ba6012b2b019d45822f1cef44aa5f753627f
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,40,15,5,critical,4,1,4,1,1,4.0,200,728,5,17,200/728/5/17,61a15252b7a2cd03ee218e794daa1ecbaeef25ad856baf016212e94e23a07f1c
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,40,15,5,critical,4,4,1,1,1,1.0,200,700,6,1,200/700/6/1,4df8708b24f0a2b3ee71caf58975bb91329ce2203597abada93d097234e0416e
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,40,15,4,critical,4,1,4,1,1,4.0,160,557,1,12,160/557/1/12,4a52a8f48487db22721748a8bd7f511e9f237bce400c3e21f42666d0ac3598d2
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,40,15,4,critical,1,1,1,1,1,1.0,160,569,8,13,160/569/8/13,5f4b6c6fb3df1fafb6247e0d1f324ddb360a8c3bb183c735250918a4764c4bc3
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,40,15,4,critical,1,4,1,4,1,0.25,160,550,9,0,160/550/9/0,c4b6aab0eae7e3e79ec064fc5ea028a7c27d81aca19b6633df8ebe2fa0d40bb8
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,40,15,4,critical,8,1,8,1,1,8.0,160,549,0,12,160/549/0/12,71f563dac3b15b9ef462178dfb093911dc73545e3d0b41cb135297281d5a66c5
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,40,15,4,critical,1,8,1,8,1,0.125,160,551,10,0,160/551/10/0,5d726520da13c8780079c6b7be7eb7079c8b40632330ca68aec68da1eec280e5
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,40,15,4,critical,8,4,2,1,1,2.0,160,534,1,0,160/534/1/0,e816523ada9fbc4c18a696c66d903c7756d0abdd8917952ea500c33b4da9ee0b
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,40,15,4,critical,4,8,1,2,1,0.5,160,534,1,0,160/534/1/0,67099f276e3a3923616258e275f4c0c41cc7d1c5b67e81da59f83f3e35d00e28
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,40,15,4,critical,4,4,1,1,1,1.0,160,538,2,0,160/538/2/0,650106843fab0f8673d1274bc2a31bfdf85efc1a80b89968aba7e24027a4d74a
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,40,15,4,critical,8,8,1,1,1,1.0,160,534,1,0,160/534/1/0,ae049f883f7d11938d0cc91a2e24fc13c18711cdb8cd3c04fb4ac04e453ef904
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,30,15,4,critical,1,1,1,1,1,1.0,120,423,4,0,120/423/4/0,8974b954d48a9de584e7d732243900837462d16535d37924969c7f747d0baae1
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,30,15,4,critical,4,1,4,1,1,4.0,120,418,0,3,120/418/0/3,2eb8733a4baff545b3deb45019ad61b661f9acd1ff14aecf6c966821502f2289
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,30,15,4,critical,1,8,1,8,1,0.125,120,424,5,0,120/424/5/0,c0f3a1e32019988faed70d7953cc782ce5df04591acbb84b6d79ef299158feac
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,30,15,4,critical,4,8,1,2,1,0.5,120,415,0,0,120/415/0/0,7ef8e691904a304fa77d3baa36a08189bfaa6d9ff2eecf2df72de51cec3e6fe0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,30,15,4,critical,8,1,8,1,1,8.0,120,418,0,3,120/418/0/3,8030b4ae13d0eeb7c93fdb09c6ebdc993277e26f2a717077d33cdf0dd71d952f
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,30,15,4,critical,8,8,1,1,1,1.0,120,415,0,0,120/415/0/0,b3c3b0edc2c85f44c4e280bab9e6af14eedb386cb4eac72b14bf03de0f030d70
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,30,15,4,critical,4,4,1,1,1,1.0,120,415,0,0,120/415/0/0,e739c0729856b264e7891b41f1a5368092f2ae95540d32d464c813d0933f9ad1
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,30,15,4,critical,1,4,1,4,1,0.25,120,424,5,0,120/424/5/0,b77bed2a21ca7d4c6c9eafedea2aa39ebca715afc86df6e37ae12c51e1114f13
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,30,15,4,critical,8,4,2,1,1,2.0,120,415,0,0,120/415/0/0,ebfea6c64d44edf6524e029365ad5592256de2a1b218d1604f01c38ba58e5ac6
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,30,10,5,critical,1,8,1,8,1,0.125,150,508,9,0,150/508/9/0,f15bee12cc652897d3be5ee64e7f1534915d43afae03182bc8f3304ac29d015c
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,30,10,5,critical,4,8,1,2,1,0.5,150,494,1,0,150/494/1/0,3b29a09c17a219033da183cfc63e91ebc51ea51fe6cd0c01e20ac508127e95b0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,30,10,5,critical,1,4,1,4,1,0.25,150,509,10,0,150/509/10/0,25a1fe2343ef8c917a599a42786ea8f661f106697931dac8fb54a496f55b22e9
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,30,10,5,critical,4,1,4,1,1,4.0,150,503,1,6,150/503/1/6,be13d9d2250fa206bf27368a6d317f1e9be13520f0dffdbc7208d668e447dc95
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,30,10,5,critical,8,8,1,1,1,1.0,150,487,0,0,150/487/0/0,e1f089b24a21e22625223988ad4066a5ad7ea3adcf5a61402a62a76a6acdec3d
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,30,10,5,critical,8,4,2,1,1,2.0,150,487,0,0,150/487/0/0,df7c9fc2f18f181968f6cb6fcfd9ed7a0ab017b2aa2e65f5c58ba80b73308394
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,30,10,5,critical,1,1,1,1,1,1.0,150,514,7,7,150/514/7/7,25a35b40689782b54c1e4abf902fa23062ef24655641aa073fd937b27a6360bd
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,30,10,5,critical,8,1,8,1,1,8.0,150,498,0,8,150/498/0/8,7ca1f5c3b4b5307a2579f07bb962667460b8379bc2b454fb87d0802b1c5397ba
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,30,10,5,critical,4,4,1,1,1,1.0,150,494,1,0,150/494/1/0,13ae15de37aad9e86935848d9ae0841b60e05e960c07df539804f950da8884b9
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,30,15,5,critical,8,1,8,1,1,8.0,150,503,0,8,150/503/0/8,2cce9c1b894069a36eb1586ee94e5f330c031f10ccea6cffbe651ac1589c27e2
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,30,15,5,critical,4,8,1,2,1,0.5,150,503,2,0,150/503/2/0,99d223adb89e68e2246204a81e0970c66b5023fd13ac909952c0e67c6d27eb8e
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,30,15,5,critical,1,8,1,8,1,0.125,150,516,8,0,150/516/8/0,8651dcf7c355cc4a94aa88bc98ac63a1031d441eb3806e3e11c9b41cd940ae58
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,30,15,5,critical,8,8,1,1,1,1.0,150,499,1,0,150/499/1/0,860e54c6ef7e04bcc6d3d697629e4500b2a0ff85cbd8e3393c4e582c0a392164
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,30,15,5,critical,4,1,4,1,1,4.0,150,509,1,6,150/509/1/6,36759f5ea734e62a4847415ca58475cc541a3685b25425188641b3eca4fa395b
